Time Stamp,Open,High,Low,Close,SellersLevel4,SellersLevel3,SellersLevel2,SellersLevel1,SellersLevel0,BuyersLevel0,BuyersLevel1,BuyersLevel2,BuyersLevel3,BuyersLevel4,BuyersInControlTime,BuyersInControlPrice,SellersInControlTime,SellersInControlPrice,Entry,Defence,Stop,Target
06/24/2019 10:00,145.29,146.01,145.23,145.25,0.0,0.0,0.0,0.0,0.0,145.07,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
06/24/2019 14:00,145.25,146.06,145.24,145.31,0.0,0.0,0.0,0.0,0.0,145.07,145.1,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
06/24/2019 19:00,145.31,146.06,145.28,146.03,0.0,0.0,0.0,0.0,0.0,145.07,145.1,145.14,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
06/24/2019 23:00,146.02,146.1,146.01,146.09,0.0,0.0,0.0,0.0,0.0,145.07,145.1,145.14,145.23,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
06/25/2019 03:00,146.08,146.22,146.07,146.09,0.0,0.0,0.0,0.0,0.0,145.07,145.1,145.14,145.23,145.24,0,0.0,0,0.0,0.0,0.0,0.0,0.0
06/25/2019 07:00,146.1,146.15,145.31,146.08,0.0,0.0,0.0,0.0,0.0,145.1,145.14,145.23,145.24,145.28,0,0.0,0,0.0,0.0,0.0,0.0,0.0
06/25/2019 11:00,146.08,146.22,146.05,146.22,0.0,0.0,0.0,0.0,0.0,145.1,145.14,145.23,145.24,145.28,0,0.0,0,0.0,0.0,0.0,0.0,0.0
06/25/2019 15:00,146.22,146.24,146.09,146.18,0.0,0.0,0.0,0.0,0.0,145.1,145.14,145.23,145.24,145.28,0,0.0,0,0.0,0.0,0.0,0.0,0.0
06/25/2019 20:00,146.19,146.23,146.14,146.17,0.0,0.0,0.0,0.0,0.0,145.14,145.23,145.24,145.28,145.31,0,0.0,0,0.0,0.0,0.0,0.0,0.0
06/26/2019 00:00,146.17,146.18,146.1,146.12,0.0,0.0,0.0,0.0,0.0,145.23,145.24,145.28,145.31,146.05,0,0.0,0,0.0,0.0,0.0,0.0,0.0
06/26/2019 04:00,146.12,146.18,146.08,146.09,0.0,0.0,0.0,0.0,146.24,145.24,145.28,145.31,146.05,146.09,0,0.0,0,0.0,0.0,0.0,0.0,0.0
06/26/2019 08:00,146.1,146.13,146.0,146.04,0.0,0.0,0.0,146.24,146.23,145.24,145.28,145.31,146.05,146.09,0,0.0,0,0.0,0.0,0.0,0.0,0.0
06/26/2019 12:00,146.04,146.13,145.25,145.27,0.0,146.24,146.23,146.09,146.05,145.14,145.23,145.24,145.28,145.31,0,0.0,0,0.0,0.0,0.0,0.0,0.0
06/26/2019 16:00,145.28,145.3,145.18,145.21,146.23,146.18,146.09,146.05,145.31,145.07,145.1,145.14,145.23,145.24,0,0.0,0,0.0,0.0,0.0,0.0,0.0
