Time Stamp,Open,High,Low,Close,SellersLevel4,SellersLevel3,SellersLevel2,SellersLevel1,SellersLevel0,BuyersLevel0,BuyersLevel1,BuyersLevel2,BuyersLevel3,BuyersLevel4,BuyersInControlTime,BuyersInControlPrice,SellersInControlTime,SellersInControlPrice,Entry_T,Entry_C,Defence_T,Defence_C,Stop_T,Stop_C,Target,Target_C,Ideal_Target
2019-06-24 00:00:00,3242.75,3243.5,3242.75,3243.5,0.0,0.0,0.0,0.0,3243.25,3240.5,3241.25,3241.25,3241.5,3241.5,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-24 00:05:00,3243.25,3243.25,3242.5,3242.75,0.0,0.0,0.0,0.0,3244.25,3241.25,3241.5,3241.5,3242.0,3242.75,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-24 00:10:00,3242.75,3243.0,3242.75,3243.0,0.0,0.0,0.0,3244.25,3243.25,3241.25,3241.25,3241.5,3241.5,3242.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-24 00:15:00,3242.75,3243.0,3242.5,3242.75,0.0,0.0,3244.25,3243.5,3243.25,3241.25,3241.25,3241.5,3241.5,3242.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-24 00:20:00,3242.75,3243.0,3242.75,3243.0,0.0,3244.25,3243.5,3243.25,3243.25,3241.25,3241.25,3241.5,3241.5,3242.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-24 00:25:00,3242.75,3243.0,3242.5,3242.5,0.0,3244.25,3243.5,3243.25,3243.25,3241.25,3241.25,3241.5,3241.5,3242.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-24 00:30:00,3242.5,3242.75,3242.5,3242.75,3244.25,3243.5,3243.25,3243.25,3242.75,3241.25,3241.25,3241.5,3241.5,3242.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-24 00:35:00,3242.5,3243.0,3242.5,3243.0,3244.25,3243.5,3243.25,3243.25,3242.75,3241.25,3241.25,3241.5,3241.5,3242.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-24 00:40:00,3242.75,3243.0,3242.5,3242.5,0.0,3244.25,3243.5,3243.25,3243.25,3241.25,3241.25,3241.5,3241.5,3242.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-24 00:45:00,3242.5,3243.0,3242.5,3242.5,0.0,3244.25,3243.5,3243.25,3243.25,3241.25,3241.25,3241.5,3241.5,3242.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-24 00:50:00,3242.5,3242.75,3242.5,3242.5,0.0,3244.25,3243.5,3243.25,3243.25,3241.25,3241.25,3241.5,3241.5,3242.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-24 00:55:00,3242.5,3242.75,3242.5,3242.5,0.0,3244.25,3243.5,3243.25,3243.25,3241.25,3241.25,3241.5,3241.5,3242.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-24 01:00:00,3242.25,3242.5,3242.25,3242.5,3244.25,3243.5,3243.25,3243.25,3243.0,3241.25,3241.25,3241.5,3241.5,3242.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
